	labels	sentence	index
3697	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Integration of CXCR4-targeting strategies into first- and/or second-line treatment regimens may represent a promising treatment option for Ewing sarcoma .	23249693_s12
3698	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The development and progression of esophageal cancer is associated with multiple alterations in the genome , including loss of the tumor suppressor phosphatase and tensin homolog deleted from the chromosome 10 ( PTEN ) gene .	20378992_s0
3699	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The purpose of this study was to determine the effects of adenovirus-mediated MMAC/PTEN expression on the growth and survival of human esophageal cancer cells in vitro and in vivo .	20378992_s1
3700	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]	We found that compared to control cells , overexpression of PTEN significantly suppressed growth and induced apoptosis in esophageal cancer cell lines Eca-109 and TE-1 via downregulation of Bcl-2 expression and changes in cell-cycle progression .	20378992_s2
3701	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Adenovirus PTEN also inhibited the growth of subcutaneous tumor xenografts by significantly reducing tumor size in vivo .	20378992_s3
3702	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Thus our results confirm the proposed functional role of MMAC/PTEN as a regulator of esophageal cancer progression in vivo and in vitro .	20378992_s4
3703	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	PTEN might be an important biological marker and potential therapeutic target in the treatment of human esophageal cancer .	20378992_s5
3704	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Inflammation is a major risk factor for carcinogenesis in patients affected by chronic colitis , yet the molecular mechanisms underlying the progression from chronic inflammation to cancer are not completely understood .	23264896_s0
3705	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Activation of the Toll-like receptor 4 ( TLR4)-NFκB signaling axis is associated with inflammation .	23264896_s1
3706	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Thus , we hypothesized that inhibition of TLR4-NFκB signaling might help in limiting inflammatory responses and inflammation-induced oncogenesis .	23264896_s2
3707	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this work , we studied the effects of a TLR4-interacting surfactant protein A-derived ( SPA4 ) peptide on lipopolysaccharide ( LPS)-induced TLR4-NFκB signaling and cancer progression .	23264896_s3
3708	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We first characterized this peptide for its ability to bind the TLR4 ligand-LPS and for physico-chemical characteristics .	23264896_s4
3709	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	Inflammation was induced by challenging the colon cancer SW480 cells with Escherichia coli LPS .	23264896_s5
3710	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Cells were then treated with varying amounts of the SPA4 peptide .	23264896_s6
3712	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Simultaneously , the effects on LPS-induced cell migration and invasion were determined .	23264896_s8
3713	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We found that the SPA4 peptide does not bind to LPS .	23264896_s9
3716	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Tumor cells exhibit enhanced glucose consumption and lactate production even when supplied with adequate oxygen ( a phenomenon known as the Warburg effect , or aerobic glycolysis ) .	23245650_s0
3717	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Pharmacological inhibition of aerobic glycolysis represents a potential tumor-selective approach that targets the metabolic differences between normal and malignant tissues .	23245650_s1
3718	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Human breast tumor MDA-MB-231 cells were used to develop an assay system to discover natural product-based glycolysis inhibitors .	23245650_s2
3719	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The assay employed was based on hypersensitivity to glycolytic inhibition in tumor cells treated with the mitochondrial electron transport inhibitor rotenone .	23245650_s3
3720	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Under such conditions , ATP supply , and hence cell viability , depends exclusively on glycolysis .	23245650_s4
3721	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	This assay system was used to evaluate 10648 plant and marine organism extracts from the U.S. National Cancer Institute's Open Repository .	23245650_s5
3724	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Surprisingly , mechanistic studies revealed that 1 did not inhibit glycolysis , but rather functions as a protonophore that dissipates the mitochondrial proton gradient .	23245650_s8
3725	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In the presence of rotenone , tumor cells may be hypersensitive to protonophores due to increased ATP utilization by the ATP synthase .	23245650_s9
3726	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Chronic inflammation is a risk factor for the development of colon cancer , providing genotoxic insults , growth and pro-angiogenic factors that can promote tumorigenesis and tumor growth .	22992618_s0
3728	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The calcium/calcineurin signaling pathway , through activation of NFAT , is essential for effective immune responses , and its inhibitors cyclosporin A ( CsA ) and FK506 are used in the clinics to suppress immunity .	22992618_s2
3729	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Moreover , the kinases GSK3β and mTOR , modulated by PI-3K/Akt , can inhibit NFAT activity , suggesting a cross-talk between the calcium and growth factor signaling pathways .	22992618_s3
3730	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Both NFAT and mTOR activity have been associated with tumorigenesis .	22992618_s4
3733	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We found NFκB activation and mTORC1 activity not to be altered by CsA or FK506 .	22992618_s7
3734	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Similarly , changes to mitochondrial homeostasis were equivalent upon treatment with these drugs .	22992618_s8
3735	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We further show that , in our model , NFAT1 activation is not modulated by PI3K/mTOR .	22992618_s9
3736	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]	We conclude that CsA slows cell cycle progression and induces necroptosis of human carcinoma cell lines in a TGFβ- , NFAT- , NFκB- and PI3K/mTOR-independent fashion .	22992618_s10
3737	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	Nevertheless , our data suggest that CsA , in addition to its anti-inflammatory capacity , may target transformed colon and esophagus carcinoma cells without affecting non-transformed cells , promoting beneficial tumoristatic effects .	22992618_s11
3738	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Metabolic reprogramming of cancer cells provides energy and multiple intermediates critical for cell growth .	23177934_s0
3740	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We report that glycogen metabolism is upregulated in tumors invivo and in cancer cells invitro in response to hypoxia .	23177934_s2
3741	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Invitro , hypoxia induced an early accumulation of glycogen , followed bya gradual decline .	23177934_s3
3742	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Concordantly , glycogen synthase ( GYS1 ) showed a rapid induction , followed by a later increase of glycogen phosphorylase ( PYGL ) .	23177934_s4
3744	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Metabolic analyses indicated that glycogen degradation by PYGL is important for the optimal function of the pentose phosphate pathway .	23177934_s6
3745	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Thus , glycogen metabolism is a key pathway induced by hypoxia , necessary for optimal glucose utilization , which represents a targetable mechanism of metabolic adaptation .	23177934_s7
3746	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Aberrant expression and polymorphism of fibroblast growth factor receptor 4 ( FGFR4 ) has been linked to tumor progression and anticancer drug resistance .	20876804_s0
3747	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We describe here a novel mechanism of tumor progression by matrix degradation involving epithelial-to-mesenchymal transition in response to membrane-type 1 matrix metalloproteinase ( MT1-MMP , MMP-14 ) induction at the edge of tumors expressing the FGFR4-R388 risk variant .	20876804_s1
3748	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Both FGFR4 and MT1-MMP were upregulated in tissue biopsies from several human cancer types including breast adenocarcinomas , where they were partially coexpressed at the tumor/stroma border and tumor invasion front .	20876804_s2
3749	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The strongest overall coexpression was found in prostate carcinoma .	20876804_s3
3751	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this experimental model , knockdown of FGFR4-R388 or MT1-MMP by RNA interference blocked tumor cell invasion and growth in collagen .	20876804_s5
3752	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]	This was coupled with impaired phosphorylation of FGFR substrate 2 and Src , upregulation of E-cadherin , and suppression of cadherin-11 and N-cadherin .	20876804_s6
3753	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	These in vitro results were substantiated by reduced MT1-MMP content and in vivo growth of prostate carcinoma cells after the FGFR4-R388 gene silencing .	20876804_s7
3755	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	These results will help to explain the reported association of the FGFR4-R388 variant with the progression and poor prognosis of certain types of tumors .	20876804_s9
3756	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Aurora kinases play an essential role in mitotic progression and are potentially druggable targets in cancer therapy .	23281044_s0
3757	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We identified benzo[e]pyridoindoles ( BePI ) as powerful aurora kinase inhibitors .	23281044_s1
3758	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Their efficiency was demonstrated both in enzymatic inhibition studies and in cell culture assays .	23281044_s2
3760	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Tetracyclic BePI derivatives are characterized by a particular curved shape , and the presence of an oxo group on the pyridine ring was found to be required for aurora kinase B inhibition .	23281044_s4
3761	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	New hydrosoluble benzo[e]pyridoindolones were subsequently designed , and their efficacy was tested by a combination of cell-cycle analysis and time-lapse experiments in live cells .	23281044_s5
3762	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]	The most active BePI derivative , 13 b , inhibited the cell cycle , drove cells to polyploidy , and eventually induced apoptosis .	23281044_s6
3763	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	It exhibited high antiproliferative activity in HeLa cells with an IC(50) value of 63 nM .	23281044_s7
3764	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Relative to compounds tested in clinical trials , this antiproliferative potency places 13 b among the top 10 aurora kinase inhibitors .	23281044_s8
3766	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Transforming growth factor beta ( TGF-β ) signaling has been implicated in driving tumor progression and metastasis by inducing stem cell-like features in some human cancer cell lines .	23482850_s0
3767	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this study , we have utilized a novel murine cell line NMuMG-ST , which acquired cancer stem cell ( CSC ) phenotypes during spontaneous transformation of the untransformed murine mammary cell line NMuMG , to investigate the role of autocrine TGF-β signaling in regulating their survival , metastatic ability , and the maintenance of cancer stem cell characteristics .	23482850_s1
3768	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We have retrovirally transduced a dominant-negative TGF-β type II receptor ( DNRII ) into the NMuMG-ST cell to abrogate autocrine TGF-β signaling .	23482850_s2
3769	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The expression of DNRII reduced TGF-β sensitivity of the NMuMG-ST cells in various cell-based assays .	23482850_s3
3770	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	The blockade of autocrine TGF-β signaling reduced the ability of the cell to grow anchorage-independently and to resist serum deprivation-induced apoptosis .	23482850_s4
3771	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	These phenotypes were associated with reduced levels of active and phosphorylated AKT and ERK , and Gli1 expression suggesting that these pathways contribute to the growth and survival of this model system .	23482850_s5
3772	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	More interestingly , the abrogation of autocrine TGF-β signaling also led to the attenuation of several features associated with mammary stem cells including epithelial-mesenchymal transition , mammosphere formation , and expression of stem cell markers .	23482850_s6
3774	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Thus , our results indicate that autocrine TGF-β signaling is involved in the maintenance and survival of stem-like cell population resulting in the enhanced metastatic ability of the murine breast cancer cells .	23482850_s8
3775	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Induced pluripotent stem ( iPS ) cells share some basic properties , such as self-renewal and pluripotency , with cancer cells , and they also appear to share several metabolic alterations that are commonly observed in human tumors .	23287468_s0
3778	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We recently investigated whether the reprogramming-competent metabotype of iPS cells involves changes in the activation/expression status of the H ( + ) -ATPase , which is a core component of mitochondrial oxidative phosphorylation that is repressed at both the activity and protein levels in human carcinomas , and of the lipogenic switch , which refers to a marked overexpression and hyperactivity of the acetyl-CoA carboxylase ( ACACA ) and fatty acid synthase ( FASN ) lipogenic enzymes that has been observed in nearly all examined cancer types .	23287468_s3
3779	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	A comparison of a starting population of mouse embryonic fibroblasts and their iPS cell progeny revealed that somatic cell reprogramming involves a significant increase in the expression of ATPase inhibitor factor 1 ( IF1 ) , accompanied by extremely low expression levels of the catalytic β-F1-ATPase subunit .	23287468_s4
3780	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The pharmacological inhibition of ACACA and FASN activities markedly decreases reprogramming efficiency , and ACACA and FASN expression are notably upregulated in iPS cells .	23287468_s5
3781	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Importantly , iPS cells exhibited a significant intracellular accumulation of neutral lipid bodies ; however , these bodies may be a reflection of intense lysosomal/autophagocytic activity rather than bona fide lipid droplet formation in iPS cells , as they were largely unresponsive to pharmacological modulation of PPARgamma and FASN activities .	23287468_s6
3783	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The mitochondrial H ( + ) -ATP synthase and the ACACA/FASN-driven lipogenic switch are newly characterized as instrumental metabolic events that , by coupling the Warburg effect to anabolic metabolism , enable de-differentiation during the reprogramming of somatic cells to iPS cells .	23287468_s8
3784	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Lung cancers express the cholinergic autocrine loop , which facilitates the progression of cancer cells .	23285263_s0
3785	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The antagonists of mAChRs have been demonstrated to depress the growth of small cell lung cancers ( SCLCs ) .	23285263_s1
3786	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this study we intended to investigate the growth inhibitory effect of R2HBJJ , a novel muscarinic antagonist , on non-small cell lung cancer ( NSCLC ) cells and the possible mechanisms .	23285263_s2
3789	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	R2HBJJ markedly suppressed the growth of NSCLC cells , such as H1299 , H460 and H157 .	23285263_s5
3790	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In H1299 cells , both R2HBJJ and its leading compound R2-PHC displayed significant anti-proliferative activity as M3 receptor antagonist darifenacin .	23285263_s6
3791	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Exogenous replenish of ACh could attenuate R2HBJJ-induced growth inhibition .	23285263_s7
3792	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Silencing M3 receptor or ChAT by specific-siRNAs resulted in a growth inhibition of 55.5% and 37.9% on H1299 cells 96 h post transfection , respectively .	23285263_s8
3793	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]	Further studies revealed that treatment with R2HBJJ arrested the cell cycle in G0/G1 by down-regulation of cyclin D1-CDK4/6-Rb .	23285263_s9
3794	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Therefore , the current study reveals that NSCLC cells express an autocrine and paracrine cholinergic system which stimulates the growth of NSCLC cells .	23285263_s10
3795	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	R2HBJJ , as a novel mAChRs antagonist , can block the local cholinergic loop by antagonizing predominantly M3 receptors and inhibit NSCLC cell growth , which suggest that M3 receptor antagonist might be a potential chemotherapeutic regimen for NSCLC .	23285263_s11
3796	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Contradictory results have been reported regarding the association between vascularity ( used as an index of angiogenesis ) and thrombospondin-1 ( TSP-1 ) in human tumours .	12814189_s0
3797	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In previous studies , the reported association was based on the estimated average TSP-1 value per tumour , with a sufficient number of specimens collectively analysed per tumour type .	12814189_s1
3798	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Given the extent of intra-tumour heterogeneity , we determined the association between TSP-1 and vascularity within individual specimens , based on the average values of TSP-1 and vascularity in 10-20 pre-selected areas per tumour .	12814189_s2
3800	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Vascularity was quantified by point counting and vessel density of von Willebrand Factor-positive vessels .	12814189_s4
3801	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]	In 10 ductal breast carcinomas , a direct correlation between TSP-1 and vascularity was found in 4 tumours , no correlation in 3 and an inverse correlation in 3 .	12814189_s5
3802	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The effect of TSP-1 on endothelial cell migration in vitro was assessed in the Boyden chamber assay .	12814189_s6
3803	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	TSP-1 stimulated cell migration at low concentrations ( 0.1-10 microg/ml ) and was inhibitory at high concentrations ( 25-100 microg/ml ) .	12814189_s7
3804	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]	These results suggest that TSP-1 may elicit a concentration-dependent , bi-phasic , effect on angiogenesis .	12814189_s8
3805	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The NF-kB family of transcription factors regulates important biological functions including cell growth , survival and the immune response .	22284893_s0
3808	[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	NF-kB influenced immortalization of cervical cells by HPV16 .	22284893_s3
3809	[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Inhibition of NF-kB by an IkB alpha repressor mutant increased colony formation and immortalization by HPV-16 .	22284893_s4
3810	[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In contrast , activation of NF-kB by constitutive expression of p65 inhibited proliferation and immortalization .	22284893_s5
3812	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Olfactomedin 4 ( OLFM4 ) is highly expressed in gastrointestinal cancers and has an anti-apoptotic function .	23161172_s0
3813	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The roles of OLFM4 in tumor growth and metastasis and how it functions in these processes remain elusive .	23161172_s1
3814	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We investigated the function of OLFM4 in tumor growth and metastasis using B16F10 mouse melanoma cells as an experimental system .	23161172_s2
3815	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]	Our results showed that OLFM4 had no positive effect on cell viability or cell cycle progression in B16F10 cells .	23161172_s3
3817	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	OLFM4 also suppressed the migration and invasion of B16F10 cells in vitro .	23161172_s5
3819	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Overexpression of OLFM4 clearly reduced the expression levels of integrin α1 , integrin α4 , integrin α5 , integrin α6 , and MMP9 .	23161172_s7
3820	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Moreover , forced expression of MMP9 attenuated the inhibitory activity of OLFM4 on migration and invasiveness .	23161172_s8
3821	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Our findings provide the experimental evidence that OLFM4 may function as a tumor suppressor and an anti-metastatic gene during tumor progression .	23161172_s9
3823	[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We show that increasing cellular senescence with age is a possible cause of this reduction , since senescent cells are removed from the pool of cells that retain proliferative ability necessary for cancer .	15119525_s1
3824	[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	We further show that animal interventions appearing to alter senescence , p53 mutation and melatonin dosing , support the prediction that increasing senescence rate reduces cancer while reducing lifespan , and vice versa .	15119525_s2
3825	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Studies of environmental agents associated with increased cancer might be re-examined to find if there is an association with longevity increases , which may markedly alter our view of such agents .	15119525_s3
3826	[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We also show that if an agent functions by slowing both senescence and carcinogenesis , longevity is increased while reducing cancer .	15119525_s4
3827	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Dietary restriction is the only known intervention that accomplishes this , but there may be others .	15119525_s5
3828	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Surgery is the most effective therapy for cancer in the United States , but disease still recurs in more than 40% of patients within 5 years after resection .	22577350_s0
3829	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Chemotherapy is given postoperatively to prevent relapses ; however , this approach has had marginal success .	22577350_s1
3830	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	After surgery , recurrent tumors depend on rapid neovascular proliferation to deliver nutrients and oxygen .	22577350_s2
3831	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Phosphatidylserine ( PS ) is exposed on the vascular endothelial cells in the tumor microenvironment but is notably absent on blood vessels in normal tissues .	22577350_s3
3833	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Syngeneic mice bearing TC1 lung cancer tumors were treated with mch1N11 ( a novel mouse chimeric monoclonal antibody that targets PS ) , cisplatin ( cis ) , or combination after surgery .	22577350_s5
3834	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Tumor relapses and disease progression were decreased 90% by combination therapy compared with a 50% response rate for cis alone ( P = .02 ) .	22577350_s6
3835	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Mice receiving postoperative mch1N11 had no wound-related complications or added systemic toxicity in comparison to control animals .	22577350_s7
3837	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	This strategy was independent of the adaptive immune system .	22577350_s9
3838	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]	Together , these data suggest that vascular-targeted strategies directed against exposed PS may be a powerful adjunct to postoperative chemotherapy in preventing relapses after cancer surgery .	22577350_s10
3839	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Oral squamous cell carcinoma ( OSCC ) is the most common malignant tumor in the oral and maxillofacial region .	20464641_s0
3840	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The mechanism of carcinogenesis of OSCC is still unclear .	20464641_s1
3842	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Its characteristics such as morphology , proliferation activity , karyotype , and tumorigenesis were studied .	20464641_s3
3843	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The HB-2 cells displayed uncontrolled cell division and lost contact inhibition leading to cell overlap .	20464641_s4
3844	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Cells were polygonal and unevenly shaped , with an increased nucleus versus plasma ratio .	20464641_s5
3846	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The tumorigenicity was confirmed by tumor growth experiments in nude mice .	20464641_s7
3848	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	INTRODUCTION Tamoxifen is the most widely prescribed anti-estrogen treatment for patients with estrogen receptor ( ER)-positive breast cancer .	20569502_s0
