	labels	sentence	index
3634	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]	Taken together , the present work revealed a novel function of semaphorin 5A that the existence of semaphorin 5A could promote invasion and metastasis of gastric cancer by regulating MMP9 expression , at least partially , via the MEK/ERKs signal transduction pathway .	22821546_s6
3635	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Semaphorin 5A and its regulated molecules could be the potential targets for cancer therapy .	22821546_s7
3636	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Lowering the threshold of cellular senescence , the process employed by cells to thwart abnormal cell proliferation , though inhibition of CDK2 or Skp2 ( regulator of CDK inhibitors ) has been recently suggested as a potential avenue for cancer treatment .	23254306_s0
3638	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We first demonstrate the suitability of the mathematical model to explore senescence by highlighting the overlap between senescence pathways and those involved in G1/S transition and DNA damage signal transduction .	23254306_s2
3639	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We then investigate the effect of CDK2 deficiency on senescence in healthy cells , followed by effectiveness of CDK2 deficiency in triggering senescence in DNA damaged cells .	23254306_s3
3640	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	For this , we focus on the behaviour of CycE , whose peak response indicates G1/S transition , for several reduced CDK2 levels in healthy as well as two DNA-damage conditions to calculate the probability ( \u03b2 ) or the percentage of CDK2 deficient cells passing G1/S checkpoint ( (1-\u03b2) indicates level of senescence ) .	23254306_s4
3641	[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Results show that 50% CDK2 deficiency can cause senescence in all healthy cells in a fairly uniform cell population ; whereas , most healthy cells ( \u224867% ) in a heterogeneous population escape senescence .	23254306_s5
3642	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	This finding is novel to our study .	23254306_s6
3643	[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	Under both low- and high-DNA damaged conditions , 50% CDK deficiency can cause 65% increase in senescence in a heterogeneous cell population .	23254306_s7
3644	[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Furthermore , the model analyses the relationship between CDK2 and its CKIs ( p21 , p27 ) to help search for other effective ways to bring forward cellular senescence .	23254306_s8
3645	[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Results show that the degradation rate of p21 and initial concentration of p27 are effective in lowering CDK2 levels to lower the senescence threshold .	23254306_s9
3646	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Specifically , CDK2 and p27 are the most effective in triggering senescence while p21 having a smaller influence .	23254306_s10
3647	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	While receiving experimental support , these findings specify in detail the inhibitory effects of CKIs .	23254306_s11
3648	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	However , simultaneous variation of CDK2 and CKIs produces a dramatic reduction of damage cells passing the G1/S with CDK2&p27 combination causing senescence in almost all damaged cells .	23254306_s12
3649	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	This combined effect of CDK2&CKIs on senescence is a novel contribution in this study .	23254306_s13
3651	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Our study thus provides quantitative assessments for the previously published qualitative findings on senescence and highlights new avenues for bringing forward senescence bar .	23254306_s15
3652	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	An accidental exposure of six workers to ethylene oxide ( EO ) provided the rationale for a biomonitoring and follow-up study , whose aim was to analyse protein adduct kinetics and examine the differentiation between accidental and environmental exposure , e.g. , from tobacco smoke .	22728792_s0
3653	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	For this purpose , the decrease in the concentration of the haemoglobin adduct N-2-hydroxyethylvaline ( HEV ) was followed during a five-month period after the accident , together with N-2-cyanoethylvaline ( CEV ) and urinary cotinine , two well-established biomarkers for smoking .	22728792_s1
3654	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The follow-up study showed that EO adduct concentrations significantly increased after a short but presumably high exposure .	22728792_s2
3655	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Initial biomonitoring revealed HEV levels above 500 pmol g(-1) globin in all cases , with a maximum of about 2,400 pmol g(-1) globin .	22728792_s3
3656	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	This compares to a German EKA value ( exposure equivalent for carcinogenic substances ) for a daily 8-h-exposure to 1 ppm EO of 90 \u03bcg L(-1) blood ( pmol g(-1) globin ) .	22728792_s4
3658	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	After the five-month observation interval , the HEV concentrations in blood reflected the individual background from tobacco smoking .	22728792_s6
3660	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Although protein adducts and their occupational-medical assessment values are considered for long-term exposure surveillance , they can also be used for monitoring accidental exposures .	22728792_s8
3661	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In these cases , the calculation of daily ' ppm-equivalents ' may provide a means for a comparison with the existing assessment values .	22728792_s9
3662	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We investigated the effectiveness of continuous hyperthermic peritoneal perfusion ( CHPP ) for the peritoneal dissemination of gastric cancer .	12484029_s0
3663	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	A total 124 patients with advanced gastric cancer were enrolled in this study .	12484029_s1
3664	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Prophylactic CHPP ( P-CHPP ) was performed in 45 patients who had macroscopic serosal invasion without peritoneal dissemination , and 79 patients without CHPP were a control group .	12484029_s2
3665	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Therapeutic CHPP ( T-CHPP ) was performed in 21 patients with peritoneal dissemination , and 52 patients without CHPP were a control group .	12484029_s3
3667	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Univariate analysis showed that location of tumor , tumor diameter , and lymph node metastasis influenced prognosis , but there was no prognostic factor in the Cox proportional regression hazard model .	12484029_s5
3669	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Univariate analysis showed that degree of peritoneal dissemination and adjuvant chemotherapy influenced prognosis , and the Cox proportional regression hazard model showed that the macroscopic types and degree of peritoneal dissemination affected prognosis .	12484029_s7
3670	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In the patients with CHPP , the incidences of respiratory failure and renal failure were each statistically greater than in the patients undergoing CHPP .	12484029_s8
3671	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Filamin-A cross-links actin filaments into dynamic orthogonal networks , and interacts with an array of proteins of diverse cellular functions .	23289018_s0
3674	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Using a xenograft tumor model with subcutaneous and intracardiac injections of tumor cells , we found that the filamin-A deficiency causes significant reduction of lung , splenic and systemic metastasis in nude mice .	23289018_s3
3675	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We evaluated the expression of filamin-A in breast cancer tissues by immunohistochemical staining , and found that low levels of filamin-A expression in cancer cells of the tumor tissues are associated with a better distant metastasis-free survival than those with normal levels of filamin-A .	23289018_s4
3677	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Metformin , one of the most widely used antidiabetic drugs , has recently been associated with potential antitumorigenic effects .	22843031_s0
3678	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this study , we evaluated the possible cytotoxic impact of combined low doses of metformin and ionizing radiation ( IR ) on 2human hepatoma cell lines .	22843031_s1
3679	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The cytotoxic effect of metformin combined with IR was subsequently determined by clonogenic survival and cell cycle assays , assessment of mitochondrial complexI and lactate dehydrogenase ( LDH ) activity , measurement of cellular adenosine triphosphate ( ATP ) levels , comet assay and analyses of the formation and disappearance of phosphorylated histone H2AX ( γ-H2AX ) protein .	22843031_s2
3680	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The combination of metformin and IR caused a much stronger cytotoxicity than the treatment with metformin or IR alone , leading to an decrease in cell viability and increase in the accumulation of cells in the G2/M phase of the cell cycle in the 2hepatoma cell lines .	22843031_s3
3681	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In addition , a reduction in mitochondrial complexI activity ( and a significant increase in LDH activity , as well as lactate production were observed in the cells exposed to metformin .	22843031_s4
3683	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	These findings show that the combination of a low concentration of metformin and IR results in the considerable enhancement of cytotoxic effects in human hepatoma cell lines , leading to decreased DNA repair by reducing ATP production .	22843031_s6
3684	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The data provided in this study may elucidate the remarkable efficiency of this combination treatment and suggest that metformin may be used as a potential adjunct to the radiotherapy of hepatocellular carcinoma .	22843031_s7
3685	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	ABSTRACT : BACKGROUND : Chemokine receptor CXCR4 , together with its ligand CXCL12 , plays critical roles in cancer progression , including growth , metastasis and angiogenesis .	23249693_s0
3686	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Ewing sarcoma is a sarcoma with poor prognosis despite current therapies , particularly for patients with advanced-stage disease .	23249693_s1
3687	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Lungs and bone ( marrow ) , organs of predilection for ( primary/metastatic ) Ewing sarcoma , represent predominant CXCL12 sources .	23249693_s2
3688	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	METHODS : To gain insight into the role of the CXCR4-CXCL12 axis in Ewing sarcoma , CXCR4 , CXCL12 and hypoxia-inducible factor-1alpha protein expression was studied in therapy-naive and metastatic tumors by immunohistochemistry .	23249693_s3
3689	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	CXCR4 function was assessed in vitro , by flow cytometry and proliferation/ cell viability assays , in the presence of recombinant CXCL12 and/or CXCR4-antagonist AMD3100 or under hypoxic conditions .	23249693_s4
3690	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	RESULTS : Whereas CXCR4 was predominantly expressed by tumor cells , CXCL12 was observed in both tumor and stromal areas .	23249693_s5
3691	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Survival analysis revealed an ( expression level-dependent ) negative impact of CXCR4 expression ( p < 0.04 ) .	23249693_s6
3695	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Evaluation of in vivo hypoxia-inducible factor-1alpha expression and culture of cells under hypoxic conditions revealed no role for hypoxia in CXCR4 expression .	23249693_s10
3697	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Integration of CXCR4-targeting strategies into first- and/or second-line treatment regimens may represent a promising treatment option for Ewing sarcoma .	23249693_s12
3698	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The development and progression of esophageal cancer is associated with multiple alterations in the genome , including loss of the tumor suppressor phosphatase and tensin homolog deleted from the chromosome 10 ( PTEN ) gene .	20378992_s0
3700	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]	We found that compared to control cells , overexpression of PTEN significantly suppressed growth and induced apoptosis in esophageal cancer cell lines Eca-109 and TE-1 via downregulation of Bcl-2 expression and changes in cell-cycle progression .	20378992_s2
3701	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Adenovirus PTEN also inhibited the growth of subcutaneous tumor xenografts by significantly reducing tumor size in vivo .	20378992_s3
3702	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Thus our results confirm the proposed functional role of MMAC/PTEN as a regulator of esophageal cancer progression in vivo and in vitro .	20378992_s4
3703	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	PTEN might be an important biological marker and potential therapeutic target in the treatment of human esophageal cancer .	20378992_s5
3704	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Inflammation is a major risk factor for carcinogenesis in patients affected by chronic colitis , yet the molecular mechanisms underlying the progression from chronic inflammation to cancer are not completely understood .	23264896_s0
3706	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Thus , we hypothesized that inhibition of TLR4-NFκB signaling might help in limiting inflammatory responses and inflammation-induced oncogenesis .	23264896_s2
3707	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this work , we studied the effects of a TLR4-interacting surfactant protein A-derived ( SPA4 ) peptide on lipopolysaccharide ( LPS)-induced TLR4-NFκB signaling and cancer progression .	23264896_s3
3708	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We first characterized this peptide for its ability to bind the TLR4 ligand-LPS and for physico-chemical characteristics .	23264896_s4
3709	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	Inflammation was induced by challenging the colon cancer SW480 cells with Escherichia coli LPS .	23264896_s5
3710	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Cells were then treated with varying amounts of the SPA4 peptide .	23264896_s6
3711	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Changes in the expression of TLR4 , interleukin ( IL)-1β and IL-6 , in intracellular NFκB-related signal transducers ( IKBα , p65 , phosphorylated IKBα , phosphorylated p65 , RelB , COX-2 ) as well as in the transcriptional activity of NFκB were studied by immunocytochemistry , immunoblotting and NFκB reporter assay , respectively .	23264896_s7
3712	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Simultaneously , the effects on LPS-induced cell migration and invasion were determined .	23264896_s8
3713	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We found that the SPA4 peptide does not bind to LPS .	23264896_s9
3714	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Rather , its binding to TLR4 inhibits the LPS-induced phosphorylation of p65 , production of IL-1β and IL-6 , activity of NFκB , migration and invasion of SW480 cells .	23264896_s10
3715	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	In conclusion , our results suggest that the inhibition of TLR4-NFκB signaling by a TLR4-binding peptide may help for the treatment of chronic inflammation and prevention of inflammation-induced cancer in patients with colitis .	23264896_s11
3716	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Tumor cells exhibit enhanced glucose consumption and lactate production even when supplied with adequate oxygen ( a phenomenon known as the Warburg effect , or aerobic glycolysis ) .	23245650_s0
3717	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Pharmacological inhibition of aerobic glycolysis represents a potential tumor-selective approach that targets the metabolic differences between normal and malignant tissues .	23245650_s1
3718	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Human breast tumor MDA-MB-231 cells were used to develop an assay system to discover natural product-based glycolysis inhibitors .	23245650_s2
3719	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The assay employed was based on hypersensitivity to glycolytic inhibition in tumor cells treated with the mitochondrial electron transport inhibitor rotenone .	23245650_s3
3720	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Under such conditions , ATP supply , and hence cell viability , depends exclusively on glycolysis .	23245650_s4
3721	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	This assay system was used to evaluate 10648 plant and marine organism extracts from the U.S. National Cancer Institute's Open Repository .	23245650_s5
3722	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Bioassay-guided isolation of an active Moronobea coccinea extract yielded the new bis-geranylacylphloroglucinol derivative moronone ( 1 ) .	23245650_s6
3723	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Compound 1 exhibited enhanced antiproliferative/cytotoxic activity in the presence of rotenone-imposed metabolic stress on tumor cells .	23245650_s7
3724	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Surprisingly , mechanistic studies revealed that 1 did not inhibit glycolysis , but rather functions as a protonophore that dissipates the mitochondrial proton gradient .	23245650_s8
3725	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In the presence of rotenone , tumor cells may be hypersensitive to protonophores due to increased ATP utilization by the ATP synthase .	23245650_s9
3727	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Immunomodulatory agents can interfere with the inflammation that feeds cancer , but their impact on the transformed cell is poorly understood .	22992618_s1
3728	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The calcium/calcineurin signaling pathway , through activation of NFAT , is essential for effective immune responses , and its inhibitors cyclosporin A ( CsA ) and FK506 are used in the clinics to suppress immunity .	22992618_s2
3729	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Moreover , the kinases GSK3β and mTOR , modulated by PI-3K/Akt , can inhibit NFAT activity , suggesting a cross-talk between the calcium and growth factor signaling pathways .	22992618_s3
3730	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Both NFAT and mTOR activity have been associated with tumorigenesis .	22992618_s4
3731	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We therefore investigated the impact of calcineurin and PI-3K/mTOR inhibition in growth of human colon carcinoma cells .	22992618_s5
3732	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]	We show that despite the efficient inhibition of NFAT1 activity , FK506 promotes tumor growth , whereas CsA inhibits it due to a delay in cell cycle progression and induction of necroptosis .	22992618_s6
3735	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We further show that , in our model , NFAT1 activation is not modulated by PI3K/mTOR .	22992618_s9
3736	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]	We conclude that CsA slows cell cycle progression and induces necroptosis of human carcinoma cell lines in a TGFβ- , NFAT- , NFκB- and PI3K/mTOR-independent fashion .	22992618_s10
3737	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	Nevertheless , our data suggest that CsA , in addition to its anti-inflammatory capacity , may target transformed colon and esophagus carcinoma cells without affecting non-transformed cells , promoting beneficial tumoristatic effects .	22992618_s11
3738	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Metabolic reprogramming of cancer cells provides energy and multiple intermediates critical for cell growth .	23177934_s0
3739	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Hypoxia in tumors represents a hostile environment that can encourage these transformations .	23177934_s1
3741	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Invitro , hypoxia induced an early accumulation of glycogen , followed bya gradual decline .	23177934_s3
3742	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Concordantly , glycogen synthase ( GYS1 ) showed a rapid induction , followed by a later increase of glycogen phosphorylase ( PYGL ) .	23177934_s4
3743	[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	PYGL depletion and the consequent glycogen accumulation led to increased reactive oxygen species ( ROS ) levels that contributed to a p53-dependent induction of senescence and markedly impaired tumorigenesis invivo .	23177934_s5
3744	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Metabolic analyses indicated that glycogen degradation by PYGL is important for the optimal function of the pentose phosphate pathway .	23177934_s6
3745	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Thus , glycogen metabolism is a key pathway induced by hypoxia , necessary for optimal glucose utilization , which represents a targetable mechanism of metabolic adaptation .	23177934_s7
3747	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We describe here a novel mechanism of tumor progression by matrix degradation involving epithelial-to-mesenchymal transition in response to membrane-type 1 matrix metalloproteinase ( MT1-MMP , MMP-14 ) induction at the edge of tumors expressing the FGFR4-R388 risk variant .	20876804_s1
3748	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Both FGFR4 and MT1-MMP were upregulated in tissue biopsies from several human cancer types including breast adenocarcinomas , where they were partially coexpressed at the tumor/stroma border and tumor invasion front .	20876804_s2
3749	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The strongest overall coexpression was found in prostate carcinoma .	20876804_s3
3750	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Studies with cultured prostate carcinoma cell lines showed that the FGFR4-R388 variant , which has previously been associated with poor cancer prognosis , increased MT1-MMP-dependent collagen invasion .	20876804_s4
3751	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this experimental model , knockdown of FGFR4-R388 or MT1-MMP by RNA interference blocked tumor cell invasion and growth in collagen .	20876804_s5
3752	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]	This was coupled with impaired phosphorylation of FGFR substrate 2 and Src , upregulation of E-cadherin , and suppression of cadherin-11 and N-cadherin .	20876804_s6
3753	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	These in vitro results were substantiated by reduced MT1-MMP content and in vivo growth of prostate carcinoma cells after the FGFR4-R388 gene silencing .	20876804_s7
3754	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In contrast , knockdown of the alternative FGFR4-G388 allele enhanced MT1-MMP and invasive tumor cell growth in vivo and within three-dimensional collagen .	20876804_s8
3755	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	These results will help to explain the reported association of the FGFR4-R388 variant with the progression and poor prognosis of certain types of tumors .	20876804_s9
3756	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Aurora kinases play an essential role in mitotic progression and are potentially druggable targets in cancer therapy .	23281044_s0
3757	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We identified benzo[e]pyridoindoles ( BePI ) as powerful aurora kinase inhibitors .	23281044_s1
3759	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	New BePI molecules were synthesized , and a structure-activity relationship study was conducted with the aim of improving the activity and solubility of the lead compound .	23281044_s3
3760	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Tetracyclic BePI derivatives are characterized by a particular curved shape , and the presence of an oxo group on the pyridine ring was found to be required for aurora kinase B inhibition .	23281044_s4
3761	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	New hydrosoluble benzo[e]pyridoindolones were subsequently designed , and their efficacy was tested by a combination of cell-cycle analysis and time-lapse experiments in live cells .	23281044_s5
3764	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Relative to compounds tested in clinical trials , this antiproliferative potency places 13 b among the top 10 aurora kinase inhibitors .	23281044_s8
3765	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Our results justify further in vivo evaluation in preclinical animal models of cancer .	23281044_s9
3767	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this study , we have utilized a novel murine cell line NMuMG-ST , which acquired cancer stem cell ( CSC ) phenotypes during spontaneous transformation of the untransformed murine mammary cell line NMuMG , to investigate the role of autocrine TGF-β signaling in regulating their survival , metastatic ability , and the maintenance of cancer stem cell characteristics .	23482850_s1
3768	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We have retrovirally transduced a dominant-negative TGF-β type II receptor ( DNRII ) into the NMuMG-ST cell to abrogate autocrine TGF-β signaling .	23482850_s2
3769	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The expression of DNRII reduced TGF-β sensitivity of the NMuMG-ST cells in various cell-based assays .	23482850_s3
3770	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	The blockade of autocrine TGF-β signaling reduced the ability of the cell to grow anchorage-independently and to resist serum deprivation-induced apoptosis .	23482850_s4
3772	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	More interestingly , the abrogation of autocrine TGF-β signaling also led to the attenuation of several features associated with mammary stem cells including epithelial-mesenchymal transition , mammosphere formation , and expression of stem cell markers .	23482850_s6
3773	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	When xenografted in athymic nude mice , the DNRII cells were also found to undergo apoptosis and induced significantly lower lung metastasis burden than the control cells even though they formed similar size of xenograft tumors .	23482850_s7
