	text_a	text_b	label
3035	The RASP was 22 mm Hg, RVEDP 30 mm Hg, PASP 57 mm Hg, PCWP 35 mm Hg and LVEDP 40 mm Hg.	 the patient has heart failure	neutral
3036	HTN Hypercholesterolemia Glaucoma	 Patient has high cholesterol	entailment
3039	HISTORY OF PRESENT ILLNESS:  The patient is a 75-year-old woman who presents after having a headache in the left frontal area with hypertension.	 The patient has high blood pressure 	entailment
3041	HISTORY OF PRESENT ILLNESS:  The patient is a 75-year-old woman who presents after having a headache in the left frontal area with hypertension.	 The patient has shortness of breath	neutral
3044	Pressors weaned off last night but pt also developed IV infiltration secondary to peripheral levophed, given phentolamine overnight.	 the patient is in septic shock	neutral
3046	Decision was made to remove balloon pump.	 Patient has normal heart function.	contradiction
3047	Decision was made to remove balloon pump.	 Patient has coronary artery disease.	neutral
3048	She has had multiple episodes of diabetic ketoacidosis.	 Patient has diabetes mellitus, type 1 or 2	entailment
3051	[**Known patient firstname **] [**Known patient lastname 6979**] is a 53-year-old right-handed woman with a history of CNS lymphoma involving the basal ganglia, left subfrontal white matter, and corpus callosum with some associated edema and mass effect, s/p 2 cycles of induction high-dose methotrexate, and s/p 1 cycle of high-dose methotrexate and rituximab.	 the patient has CNS lymphoma	entailment
3052	[**Known patient firstname **] [**Known patient lastname 6979**] is a 53-year-old right-handed woman with a history of CNS lymphoma involving the basal ganglia, left subfrontal white matter, and corpus callosum with some associated edema and mass effect, s/p 2 cycles of induction high-dose methotrexate, and s/p 1 cycle of high-dose methotrexate and rituximab.	 the patient has a normal brain MRI	contradiction
3054	In addition, he had increased weakness and decreased oral intake.	 The patient is not drinking as much as usual. 	entailment
3055	In addition, he had increased weakness and decreased oral intake.	 The patient’s has polydipsea. 	contradiction
3056	In addition, he had increased weakness and decreased oral intake.	 The patient has failure to thrive. 	neutral
3057	PRENATAL SCREENS:  0 negative, antibody negative, Rubella immune.	 The patient is has had rubella vaccinations. 	entailment
3059	PRENATAL SCREENS:  0 negative, antibody negative, Rubella immune.	 The pe patient’s blood type is O negative. 	neutral
3061	Maternal history was notable for infertility with multiple attempts at assisted fertilization including one biochemical pregnancy in [**2870**].	 the mother had normal fertility	contradiction
3062	Maternal history was notable for infertility with multiple attempts at assisted fertilization including one biochemical pregnancy in [**2870**].	 there was a twin pregnancy	neutral
3063	In the Emergency Room she was noted to have peak flows in the 180s.	 Peak flow was low in the emergency room	entailment
3065	In the Emergency Room she was noted to have peak flows in the 180s.	 The patient has a history of asthma 	neutral
3066	Headaches: rxn to Prograf; was taken off for some time then restarted; HA are throbbing, constant and encompass whole head.	 The patient is status post transplantation.	entailment
3070	Grade II esophageal varices.	 the patient has normal portal venous pressures	contradiction
3073	History of CMV viremia x3.	 patient has no history of cmv	contradiction
3075	Of concern, her urine output decreased, with a total of 75cc UOP for which she was transferred to [**Hospital Unit Name 69**] for closer monitoring.	 The patient has acute renal failure. 	entailment
3076	Of concern, her urine output decreased, with a total of 75cc UOP for which she was transferred to [**Hospital Unit Name 69**] for closer monitoring.	 The patient has excessive urine output. 	contradiction
3077	Of concern, her urine output decreased, with a total of 75cc UOP for which she was transferred to [**Hospital Unit Name 69**] for closer monitoring.	 The patient is dehydrated. 	neutral
3078	There was a fetal demise of one of the twins.	 there was fetal demise of one twin	entailment
3079	There was a fetal demise of one of the twins.	 both twins were healthy	contradiction
3080	There was a fetal demise of one of the twins.	 there was twin twin transfusion	neutral
3081	She was discharged to rehab facility on [**11-11**] with the regimen of 4 hours on Bipap and 4 hours off due to her hypercarbic resp failure.	 The patient requires support for breathing. 	entailment
3082	She was discharged to rehab facility on [**11-11**] with the regimen of 4 hours on Bipap and 4 hours off due to her hypercarbic resp failure.	 The patient requires intubation. 	contradiction
3085	Upon arrival to the CCU, patient pain free, A+O, integrilin running, off lidocaine.	 the patient is not on medication	contradiction
3087	Although she is a poor historian, she c/o fatigue, some dizziness, epecially upon standing, as well as recent diarrhea.	 She reports feeling tired	entailment
3090	-MVR -CAD (cath on [**2648-10-27**] d/t chf: 70% ramus, 40% d1, 80% CX, 80% RCA) -HTN -HYPERCHOL -ENDOCARDITIS x 2 ([**2644**], [**2646**], second one complicated by stroke), both beta hemolytic streptococci, 500 mg twice daily since [**2646**], ampicillin prophylaxis for all dental work. -BLEEDING DUODENAL ULCER/PUD, helicobacter antibody positive -STROKE secondary to endocarditis [**2646**] -PROSTATE CA [**2638**] s/p surgery	 The patient has multiple medical problems. 	entailment
3094	Based on the above findings, he was admitted for cardiac catheterization.	 patient has no cardiac findings	contradiction
3095	Based on the above findings, he was admitted for cardiac catheterization.	 patient has an acute MI	neutral
3098	This is an 86 yo F with CAD s/p CABG, HTN, dyslipidemia, GERD, history of CVA, and tracheobronchomalacia and eosinophilic bronchitis who presented on transfer from [**Hospital3 **] for ERCP for a biliary leak.	 She has a history of smoking	neutral
3099	Atrial fibrillation/flutter for ~2 years, not on anticoagulation 2.	 Arrhythmia 	entailment
3100	Atrial fibrillation/flutter for ~2 years, not on anticoagulation 2.	 Normal heart rate and rhythm, no history of arrhythmia 	contradiction
3101	Atrial fibrillation/flutter for ~2 years, not on anticoagulation 2.	 History of syncope	neutral
3103	HISTORY OF PRESENT ILLNESS:   This is a 63 year old female with coronary artery disease status post catheterization with stent of the mid left anterior descending on [**2614-9-6**], who presented on [**2614-10-3**], for elective carotid catheterization.	 the patient has normal coronary arteries	contradiction
3106	EKG was unchanged with no ST changes.	 Patient has new EKG findings	contradiction
3108	[**Name10 (NameIs) **] note, pt had been on bactrim prophylaxis for PCP which was [**Name Initial (PRE) **]/ced [**1-27**] LFT abnormalities (as mentioned above).	 the patient is immunocompromised	entailment
3109	[**Name10 (NameIs) **] note, pt had been on bactrim prophylaxis for PCP which was [**Name Initial (PRE) **]/ced [**1-27**] LFT abnormalities (as mentioned above).	 the patient is immunocompetent	contradiction
3110	[**Name10 (NameIs) **] note, pt had been on bactrim prophylaxis for PCP which was [**Name Initial (PRE) **]/ced [**1-27**] LFT abnormalities (as mentioned above).	 the patient has AIDS	neutral
3111	Removal of basal cell carcinoma of nose. hypothyroidism cervical CA (40 years ago) Atrial fibrillation chronic systolic heart failure	 The patient has an irregularly irregular heart rate.	entailment
3113	Removal of basal cell carcinoma of nose. hypothyroidism cervical CA (40 years ago) Atrial fibrillation chronic systolic heart failure	 The patient has had a hysterectomy. 	neutral
3114	She improved and was extubated and weanted from pressors.	 The patient was on pressors	entailment
3115	She improved and was extubated and weanted from pressors.	 the patient had a hypertensive emergency	contradiction
3116	She improved and was extubated and weanted from pressors.	 THe patient was in septic shock	neutral
3117	Heparin was reversed with protamine.	 The patient received Heparin followed by Protamine	entailment
3118	Heparin was reversed with protamine.	 The patient has no history of Heparin use 	contradiction
3119	Heparin was reversed with protamine.	 History of cardiac disease	neutral
3121	She received antibiotics about a half hour prior to delivery.	 the patient did not recieve antibiotics	contradiction
3124	He received 150 joules x 2 and 200 joules x 1.	 Patient has normal sinus rhythm	contradiction
3125	He received 150 joules x 2 and 200 joules x 1.	 Patient has ventricular fibrillation	neutral
3126	He presented to the Emergency Department secondary to pain.	 He was in pain	entailment
3127	He presented to the Emergency Department secondary to pain.	 He denied pain	contradiction
3130	She also complains of pain radiating down her neck and across her shoulders.	 The patient has no pain. 	contradiction
3131	She also complains of pain radiating down her neck and across her shoulders.	 The patient is having a myocardial infarction. 	neutral
3133	Later in the day, the patient became progressively more agitated requiring increasing oxygen and sedative medications, and ultimately, she has to be reintubated.	 the patient is calm	contradiction
3134	Later in the day, the patient became progressively more agitated requiring increasing oxygen and sedative medications, and ultimately, she has to be reintubated.	 the patient is suffering from delerium tremens	neutral
3136	Treated with ASA 325mg, 1 inch Nitropaste.	 No cardiac symptoms	contradiction
3137	Treated with ASA 325mg, 1 inch Nitropaste.	 History of coronary artery disease	neutral
3138	The patient was sent to [**Hospital1 58**] for admission.	 The patient is hospitalized.	entailment
3139	The patient was sent to [**Hospital1 58**] for admission.	 The patient was treated as an outpatient. 	contradiction
3140	The patient was sent to [**Hospital1 58**] for admission.	 The patient has pneumonia. 	neutral
3141	3) Anemia, negative GI workup in [**3266**] (baseline 30) 4) cholethiasis s/p chole 5) tympanoplasty 6) nephrolithiasis	 Patient has gallstones	entailment
3142	3) Anemia, negative GI workup in [**3266**] (baseline 30) 4) cholethiasis s/p chole 5) tympanoplasty 6) nephrolithiasis	 Patient has normal Hct	contradiction
3143	3) Anemia, negative GI workup in [**3266**] (baseline 30) 4) cholethiasis s/p chole 5) tympanoplasty 6) nephrolithiasis	 Patient has abnormal CT abdomen	neutral
3146	She was medically managed with diuretics and verapamil but eventually required etoh ablation 9/[**2812**].	" Patient has varices	"	neutral
3147	Pt did not sustain any other major injuries aside from her right upper extremity.	 The patient has an injury to the right upper arm. 	entailment
3148	Pt did not sustain any other major injuries aside from her right upper extremity.	 The patient has no injuries. 	contradiction
3149	Pt did not sustain any other major injuries aside from her right upper extremity.	 The patient was in a trauma. 	neutral
3151	An echocardiogram on [**9-15**] revealed an ejection fraction of 60%, mild left ventricular hypertrophy, 1 to 2+ mitral regurgitation, and 1+ tricuspid regurgitation.	 the patient has heart failure	contradiction
3152	An echocardiogram on [**9-15**] revealed an ejection fraction of 60%, mild left ventricular hypertrophy, 1 to 2+ mitral regurgitation, and 1+ tricuspid regurgitation.	 the patient has hypertension	neutral
3153	Additionally, the attending anesthesiologist was [**Year (4 digits) 1121**] by telephone by the primary obstetrician, and this headache was discussed while the patient was en route to GYN triage regarding the proper approach to evaluation.	 the patient has a headache	entailment
3155	Additionally, the attending anesthesiologist was [**Year (4 digits) 1121**] by telephone by the primary obstetrician, and this headache was discussed while the patient was en route to GYN triage regarding the proper approach to evaluation.	 the patient recieved an epidural	neutral
3159	Diabetic nephropathy, hypertension, renal cell cancer papillary, status post right partial nephrectomy, depression.	 The patient has chronic kidney disease. 	entailment
3160	Diabetic nephropathy, hypertension, renal cell cancer papillary, status post right partial nephrectomy, depression.	 The patient has never had surgery before. 	contradiction
3165	He developed acute-onset chest pain at  midnight on the day of transfer.	 Patient has acute symptoms	entailment
3166	He developed acute-onset chest pain at  midnight on the day of transfer.	 Patient has normal exam	contradiction
3167	He developed acute-onset chest pain at  midnight on the day of transfer.	 Patient has CAD	neutral
3168	SOB occurs at rest and on exertion.	 Findings of CHF. 	entailment
3169	SOB occurs at rest and on exertion.	 Not a finding seen in structural heart disease or pulmonary disease. 	contradiction
3170	SOB occurs at rest and on exertion.	 Patients also have chest pain. 	neutral
3171	Of note, she was seen in the ED for a similar episode on [**12-18**] when she was found to have a UTI and treated with a 7 day course of levaquin.	 She was treated for a urinary tract infection	entailment
3172	Of note, she was seen in the ED for a similar episode on [**12-18**] when she was found to have a UTI and treated with a 7 day course of levaquin.	 She has no history of urinary complaints	contradiction
3173	Of note, she was seen in the ED for a similar episode on [**12-18**] when she was found to have a UTI and treated with a 7 day course of levaquin.	 She had hematuria	neutral
3175	There was no bony injury to the orbit.	 Patient has a large orbital fracture	contradiction
3176	There was no bony injury to the orbit.	 Patient has no pain	neutral
3179	[**Known patient lastname 14396**] dyspnea and cough returned and it was progressive over the course of the last year.	 The patient has a history of smoking	neutral
3181	Chronic abdominal pain syndrome 13.	 The patient has no history of chronic pain. 	contradiction
3182	Chronic abdominal pain syndrome 13.	 The patient has fibromyalgia. 	neutral
3183	Pt started experiencing nausea and vomiting and went to [**Hospital3 828**] ED.	 The patient had emesis	entailment
3185	Pt started experiencing nausea and vomiting and went to [**Hospital3 828**] ED.	 The patient started experiencing associated abdominal pain 	neutral
3186	Aggressive diuresis once BP stabilizes.	 the patient is fluid overloaded	entailment
3187	Aggressive diuresis once BP stabilizes.	 the patient is hypovolemic	contradiction
3188	Aggressive diuresis once BP stabilizes.	 the patient is in cardiogenic shock	neutral
3189	The patient's CT showed signs of left ventricular strain.	 CT scan was abnormal 	entailment
3193	58 year old male with unknown PMH p/w witnessed cardiac arrest in the field.	 The patient has a a normally functioning cardiopulmonary system. 	contradiction
3194	58 year old male with unknown PMH p/w witnessed cardiac arrest in the field.	 The patient had a myocardial infarction. 	neutral
3199	He had a gastrostomy tube placed in [**2789**].	 the patient has no means of nutrition	contradiction
3200	He had a gastrostomy tube placed in [**2789**].	 the patient has dementia	neutral
3202	HISTORY OF PRESENT ILLNESS:  The patient is a 61 year old gentleman who, shortly prior to admission, had been in [** Location **]usly good health but developed left scapular discomfort and left arm paresthesias as well as mild weakness in his fingers.	 Patient has negative ROS	contradiction
3203	HISTORY OF PRESENT ILLNESS:  The patient is a 61 year old gentleman who, shortly prior to admission, had been in [** Location **]usly good health but developed left scapular discomfort and left arm paresthesias as well as mild weakness in his fingers.	 Patient has a TIA	neutral
3205	EtOH cirrhosis with diuretic resistant ascites(US guided para on [**2862-6-29**] removing 8.5L and on [**2862-6-16**] removing 4 L): followed by Dr [**Last Name (STitle) **] DM CKD Laryngeal cancer status post XRT Anemia Colonic adenoma GERD Agram [**2862-8-1**]: Stent EIA, Aplast/stent SFA,[**Doctor Last Name **],PT	 No history of cancer 	contradiction
3206	EtOH cirrhosis with diuretic resistant ascites(US guided para on [**2862-6-29**] removing 8.5L and on [**2862-6-16**] removing 4 L): followed by Dr [**Last Name (STitle) **] DM CKD Laryngeal cancer status post XRT Anemia Colonic adenoma GERD Agram [**2862-8-1**]: Stent EIA, Aplast/stent SFA,[**Doctor Last Name **],PT	 History of smoking 	neutral
3207	The patient is unaware of any [** Location **]itating factor however he feels that it might have been due to a recent asthma flare.	 The patient has episodes with difficulty breathing. 	entailment
3208	The patient is unaware of any [** Location **]itating factor however he feels that it might have been due to a recent asthma flare.	 The patient does not have reactive airways.	contradiction
3209	The patient is unaware of any [** Location **]itating factor however he feels that it might have been due to a recent asthma flare.	 The patient has reactive airway disease. 	neutral
3210	2) s/p colon resection as a child 3) hx of crack cocaine abuse	 Patient has a PMH of drug abuse	entailment
3211	2) s/p colon resection as a child 3) hx of crack cocaine abuse	 Patient has not had surgery	contradiction
3212	2) s/p colon resection as a child 3) hx of crack cocaine abuse	 Patient had bowel ischemia	neutral
3213	Status post appendectomy 6.	 Appendix was removed	entailment
3214	Status post appendectomy 6.	 No surgical history	contradiction
3215	Status post appendectomy 6.	 Procedure was done  laparoscopically	neutral
3216	She was admitted the day prior to delivery with a fever to 104.	 She was febrile	entailment
3218	She was admitted the day prior to delivery with a fever to 104.	 She was tachycardic	neutral
3219	During her stay, she was also followed by vascular for severe peripheral edema.	 She had swelling in the extremities	entailment
3220	During her stay, she was also followed by vascular for severe peripheral edema.	 Extremities appeared normal bilaterally	contradiction
3221	During her stay, she was also followed by vascular for severe peripheral edema.	 She was ambulatory with assistance	neutral
3222	This is a 61 yo male w/ h/o hypertension, hyperlipidemia, and DM2 (diet controlled) who recently developed chest pain and had syncopal episode today.	 The patient is at high risk for a myocardial infarction. 	entailment
3223	This is a 61 yo male w/ h/o hypertension, hyperlipidemia, and DM2 (diet controlled) who recently developed chest pain and had syncopal episode today.	 The patient is has a normal LDL. 	contradiction
3224	This is a 61 yo male w/ h/o hypertension, hyperlipidemia, and DM2 (diet controlled) who recently developed chest pain and had syncopal episode today.	 The patient had a cardiac arrhythmia. 	neutral
3225	Bedside echo demonstrated large cardiac effusion, and the patient was transferred to CCU for further management.	 The patient was experiencing cardiac tamponade physiology. 	entailment
3226	Bedside echo demonstrated large cardiac effusion, and the patient was transferred to CCU for further management.	 The patient’s heart is working normally. 	contradiction
3227	Bedside echo demonstrated large cardiac effusion, and the patient was transferred to CCU for further management.	 The patient has viral myocarditis. 	neutral
3228	The chest tightness was not relieved with the nitroglycerin, but resolved with Darvocet.	 A narcotic relieved the patients chest pain. 	entailment
3229	The chest tightness was not relieved with the nitroglycerin, but resolved with Darvocet.	 The patient has not received a narcotic. 	contradiction
3230	The chest tightness was not relieved with the nitroglycerin, but resolved with Darvocet.	 The patient’s chest tightness is non cardiac in origin. 	neutral
3231	The yeast was later speciated as [**Female First Name (un) 558**] parapsilosis.	 The patient has a yeast infection. 	entailment
3232	The yeast was later speciated as [**Female First Name (un) 558**] parapsilosis.	 There was no yeast growth. 	contradiction
3233	The yeast was later speciated as [**Female First Name (un) 558**] parapsilosis.	 The yeast grew from a urine culture. 	neutral
3234	[**Known patient lastname 30983**] is a 73-year-old right-handed female with a history of hypertension, hyperlipidemia, and probable right pontine lacunar stroke (she presented with right CN VI and VII palsies that have since resolved) in [**2800**] who was noted by her son on [**2802-5-22**] to be in her usual state of good health.	 the patient had an acute neurologic finding	entailment
3235	[**Known patient lastname 30983**] is a 73-year-old right-handed female with a history of hypertension, hyperlipidemia, and probable right pontine lacunar stroke (she presented with right CN VI and VII palsies that have since resolved) in [**2800**] who was noted by her son on [**2802-5-22**] to be in her usual state of good health.	 the patient has no neurologic history	contradiction
3236	[**Known patient lastname 30983**] is a 73-year-old right-handed female with a history of hypertension, hyperlipidemia, and probable right pontine lacunar stroke (she presented with right CN VI and VII palsies that have since resolved) in [**2800**] who was noted by her son on [**2802-5-22**] to be in her usual state of good health.	 the patient had a transient ischemic attack	neutral
3237	At [**Hospital1 22**], pt received zosyn, thiamine, Pt was admitted to the MICU for further evaluation and treatment.	 The patient received an antibiotic	entailment
3242	The patient was stable and capturing with threshold of 1.5 mV of current.	 the patient had a cardiac arrest	neutral
3244	"He was c/o feeling more fatigued, unable to do ADLs due to fatigue, feeling ""really sick"", ""wiped out"", feeling very dizzy and light headed."	 The patient has full energy. 	contradiction
3245	"He was c/o feeling more fatigued, unable to do ADLs due to fatigue, feeling ""really sick"", ""wiped out"", feeling very dizzy and light headed."	 The patient has mononucleosis. 	neutral
3246	Sputum cx, gs, cont bactrim ppx for PCP 2.	 The patient is immunocompromised. 	entailment
3247	Sputum cx, gs, cont bactrim ppx for PCP 2.	 The patient is at low risk for infection. 	contradiction
3248	Sputum cx, gs, cont bactrim ppx for PCP 2.	 The patient has AIDS.	neutral
3249	When she came back she was noted to be hypoxic then also noted to be tachycardic and hypertense w/ systolics in the 200s.	 The patient is hemodynamically unstable.	entailment
3253	She was intubated and given Dopamine for hypotension.	 the patient is hypertensive	contradiction
3254	She was intubated and given Dopamine for hypotension.	 the patient is in cardiogenic shock	neutral
3255	In the ED, her initial vs were: T 97.3, P 85, BP 80/46, R 16, O2 95% on RA.	 The patient is hypotensive.	entailment
3256	In the ED, her initial vs were: T 97.3, P 85, BP 80/46, R 16, O2 95% on RA.	 The patient is febrile.	contradiction
3257	In the ED, her initial vs were: T 97.3, P 85, BP 80/46, R 16, O2 95% on RA.	 The patient is septic.	neutral
3258	On retrospect, the patient has had 25 lb weight loss in past 4 months.	 Patient has unintentional weight loss	entailment
3261	Volume resuscitated, propofol turned off and given 2 gram Ceftriaxone and Flagyl.	 patient is being treated with antibiotics	entailment
3262	Volume resuscitated, propofol turned off and given 2 gram Ceftriaxone and Flagyl.	 patient is hypervolemic	contradiction
3263	Volume resuscitated, propofol turned off and given 2 gram Ceftriaxone and Flagyl.	 patient has sepsis	neutral
3264	She was in her usual state of health until today around 8:00 AM when she woke up and started with sudden dull retro-sternal chest pain [**6-26**] without any radiation, associated with shortness of breath.	 Patient has new angina	entailment
3265	She was in her usual state of health until today around 8:00 AM when she woke up and started with sudden dull retro-sternal chest pain [**6-26**] without any radiation, associated with shortness of breath.	 Patient has no pain	contradiction
3266	She was in her usual state of health until today around 8:00 AM when she woke up and started with sudden dull retro-sternal chest pain [**6-26**] without any radiation, associated with shortness of breath.	 Patient has GERD	neutral
3267	He now complains of a 3 week duration of L retroorbital HA initially controlled with percocet.	 the patient has headache	entailment
3268	He now complains of a 3 week duration of L retroorbital HA initially controlled with percocet.	 the patient denies headache	contradiction
3269	He now complains of a 3 week duration of L retroorbital HA initially controlled with percocet.	 the patient has trigemincal neuralgia	neutral
3270	She has limited recollection of events, but seems to have fallen against a corner of a door frame and pulled the wall oven door open.	 Patient has confusion	entailment
3271	She has limited recollection of events, but seems to have fallen against a corner of a door frame and pulled the wall oven door open.	 Patient has normal MMSE	contradiction
3273	The patient was monitored overnight and has remained hemodynamically stable, had HD today.	 the patient required dialysis	entailment
3276	He developed rigors while eating dinner last evening.	 The patient is getting chills. 	entailment
3277	He developed rigors while eating dinner last evening.	 The patient is asymptomatic. 	contradiction
3279	Subsequent stress testing was positive for ischemia.	 The patient has coronary artery disease. 	entailment
3280	Subsequent stress testing was positive for ischemia.	 The patient does not have coronary artery disease. 	contradiction
3281	Subsequent stress testing was positive for ischemia.	 The patient has elevated troponins. 	neutral
3284	Concurrently, she also complained of some stiff pain from neck.	 She was in a motor vehicle accident	neutral
3287	Urinary tract infection with Methicillin resistant Staphylococcus aureus.	 The patient lives in a nursing home 	neutral
3288	Initially her O2 sats were 70% on RA, HR 100, SBP 160.	 the patient is hypoxic	entailment
3289	Initially her O2 sats were 70% on RA, HR 100, SBP 160.	 the patient has normal oxygenation	contradiction
3290	Initially her O2 sats were 70% on RA, HR 100, SBP 160.	 the patient is in heart failure 	neutral
3291	The infant was brought to the newborn nursery where she was noted to be dusky and tachypneic at 2 hours of age.	 the patient is tachypneic	entailment
3292	The infant was brought to the newborn nursery where she was noted to be dusky and tachypneic at 2 hours of age.	 the patient is cyanotic	contradiction
3293	The infant was brought to the newborn nursery where she was noted to be dusky and tachypneic at 2 hours of age.	 the patient has a congenital heart defect	neutral
3294	S/P L hip ORIF on [**6-28**] complicated by hypotension and hemorrhage on lovenox requiring 4 units of PRBCs in 24 hours. .	 Patient had recent left hip surgery	entailment
3296	S/P L hip ORIF on [**6-28**] complicated by hypotension and hemorrhage on lovenox requiring 4 units of PRBCs in 24 hours. .	 History of falls and hip fracture	neutral
3297	Pt recent admission was for bloody stools and significantly elevated INR.	 The patient had a GI bleed. 	entailment
3298	Pt recent admission was for bloody stools and significantly elevated INR.	 The patient has a normal clotting time. 	contradiction
3299	Pt recent admission was for bloody stools and significantly elevated INR.	 The patient is taking coumadin. 	neutral
3300	Severe CAD s/p 4vCABG [**2795**] 2.	 the patient has CAD	entailment
3304	The patient began complaining of worsening pain and then was uncooperative with further history/interview.	 The patient is in no pain. 	contradiction
3305	The patient began complaining of worsening pain and then was uncooperative with further history/interview.	 The patient has a critical condition.	neutral
3306	LENIs without evidence of DVT.	 There was not a venous thrombosis found. 	entailment
3307	LENIs without evidence of DVT.	 There was a venous thrombosis found. 	contradiction
3310	"He then had ""copious"" amounts of liquid green diarrhea."	 Patient has normal blood work	contradiction
3311	"He then had ""copious"" amounts of liquid green diarrhea."	 Patient has colitis on CT imaging	neutral
3312	She received magnesium sulfate and betamethasone at that time.	 Patient has evidence of pre-eclampsia	entailment
3313	She received magnesium sulfate and betamethasone at that time.	 Patient has no symptoms	contradiction
3314	She received magnesium sulfate and betamethasone at that time.	 Patient has received steroids	neutral
3315	The infant was born by repeat cesarean section for worsening pregnancy induced required bulb suctioning and tactile stimulation.	 The patient was born via c section 	entailment
3319	Liver transplant six years ago for hepatitis B and hepatitis C.	 No history of hepatic disease	contradiction
3320	Liver transplant six years ago for hepatitis B and hepatitis C.	 History of IV drug abuse	neutral
3321	The patient was admitted to the MICU.	 The patient required intensive care	entailment
3325	In the [**Name (NI) **], pt had episodes of hypotension (SBP down to 60's), and was given 7 L NS.	 Patient has no IV in place	contradiction
3326	In the [**Name (NI) **], pt had episodes of hypotension (SBP down to 60's), and was given 7 L NS.	 Patient has normal blood pressure following treatment	neutral
3328	He was transferred to the CCU, clincally stable with BPs around 100. .	 The patient’s vitals are fluctuating. 	contradiction
3329	He was transferred to the CCU, clincally stable with BPs around 100. .	 The patient had a recent myocardial infarction. 	neutral
3331	HISTORY OF PRESENT ILLNESS:  72-year-old man with known CAD status post a MI in [**2501**] underwent cardiac catheterization on the day of admission and was found to have three-vessel disease with calcified left main and EF of 30 percent by echo done in [**2528-3-20**].	 the patient has normal cardiac function	contradiction
3332	HISTORY OF PRESENT ILLNESS:  72-year-old man with known CAD status post a MI in [**2501**] underwent cardiac catheterization on the day of admission and was found to have three-vessel disease with calcified left main and EF of 30 percent by echo done in [**2528-3-20**].	 the patient has coronary stents	neutral
3333	Membranes were ruptured artificially around 5 hours prior to delivery for clear fluid.	 Amniotomy was performed	entailment
3334	Membranes were ruptured artificially around 5 hours prior to delivery for clear fluid.	 Spontaneous rupture of membranes	contradiction
3335	Membranes were ruptured artificially around 5 hours prior to delivery for clear fluid.	 Pregnancy was uncomplicated and delivery was at full term 	neutral
3337	The patient was then transferred to the Intensive Care Unit for further monitoring.	 The patient was transferred to the step down unit. 	contradiction
3339	A KUB perfomed in the ED revealed a large bowel obstruction.	 the patient has a bowel obstruction	entailment
3340	A KUB perfomed in the ED revealed a large bowel obstruction.	 the patient had a normal abdominal x ray	contradiction
3341	A KUB perfomed in the ED revealed a large bowel obstruction.	 the patient has a sigmoid volvulus	neutral
3343	It does appear though that he was discharged on a 5 day course of Bactrim per ID recs for MRSA.	 He required no medication	contradiction
3344	It does appear though that he was discharged on a 5 day course of Bactrim per ID recs for MRSA.	 He had signs of a skin infection	neutral
3346	83M CAD s/p MI [**2665**] (treated with tPA-> PTCA at [**Hospital3 **]) presented for elective catheterization for progressive dyspnea on exertion and positive stress MIBI.	 The patient has normal coronary arteries. 	contradiction
3347	83M CAD s/p MI [**2665**] (treated with tPA-> PTCA at [**Hospital3 **]) presented for elective catheterization for progressive dyspnea on exertion and positive stress MIBI.	 The patient has is taking a statin.	neutral
3349	Pulmonary function tests in [**3053-6-22**] showed a FVC of 1.85 liters, FEV1 0.73 liters, and a FEV1/FVC ratio 39%.	 The patient has normal lungs. 	contradiction
3350	Pulmonary function tests in [**3053-6-22**] showed a FVC of 1.85 liters, FEV1 0.73 liters, and a FEV1/FVC ratio 39%.	 The patient has COPD. 	neutral
3351	Cholangitis complicated elective ERCP 7. h/o hyponatremia as low as 119 8.	 Patient has cholangitis.	entailment
3354	He was treated with steroids and levoflox.	 He received antibiotics	entailment
3355	He was treated with steroids and levoflox.	 He was treated with steroids only	contradiction
3356	He was treated with steroids and levoflox.	 He presented with shortness of breath	neutral
3357	No change in his stool to a darker color over the past few weeks.	 Patient has stable appearance of stool	entailment
3359	No change in his stool to a darker color over the past few weeks.	 Patient has abdominal pain	neutral
3361	Late in the day of postoperative day eight the patient was transferred from the Intensive Care Unit to floor five [**Hospital1 **] and she continued to do well with saturations staying above 95% on four liters of oxygen.	 The patient does not require supplemental oxygen. 	contradiction
3362	Late in the day of postoperative day eight the patient was transferred from the Intensive Care Unit to floor five [**Hospital1 **] and she continued to do well with saturations staying above 95% on four liters of oxygen.	 The patient has pulmonary edema. 	neutral
3364	Mom was betamethasone complete prior to delivery on [**3422-1-19**].	 patient is full term	contradiction
3366	On review of systems, the patient reports some upper respiratory infection like symptoms of sore throat, occasional cough productive of brown sputum, with chills and night sweats for the past two nights.	 The patient has a pulmonary infection.	entailment
3367	On review of systems, the patient reports some upper respiratory infection like symptoms of sore throat, occasional cough productive of brown sputum, with chills and night sweats for the past two nights.	 The patient has not had any pulmonary symptoms. 	contradiction
3368	On review of systems, the patient reports some upper respiratory infection like symptoms of sore throat, occasional cough productive of brown sputum, with chills and night sweats for the past two nights.	 The patient has pulmonary tuberculosis. 	neutral
3369	HISTORY OF PRESENT ILLNESS:  The patient is a 38 year old male transferred from [**Hospital 1543**] Hospital early on the morning of [**2985-12-2**], with acute renal failure, hyperkalemia, abdominal pain and nausea.	 The patient is not able to secrete extra potassium. 	entailment
3370	HISTORY OF PRESENT ILLNESS:  The patient is a 38 year old male transferred from [**Hospital 1543**] Hospital early on the morning of [**2985-12-2**], with acute renal failure, hyperkalemia, abdominal pain and nausea.	 The patient has a normal basic metabolic profile. 	contradiction
